Index,Arrival_Time,Creation_Time,x,y,z,User,Model,Device,gt,event_ts,event_ts_dbl
323816,1424698517429,1424698515410853472,-6.098633,0.9975128000000001,7.656891000000001,a,nexus4,nexus4_1,bike,2015-02-23T13:35:17.429+0000,1424698517.429
323007,1424698517426,1424700362955426327,-5.771164,1.6156616000000001,8.771896,a,nexus4,nexus4_2,bike,2015-02-23T13:35:17.426+0000,1424698517.426
323006,1424698517426,1424700362947613827,-6.8339996,1.4906921,8.619553,a,nexus4,nexus4_2,bike,2015-02-23T13:35:17.426+0000,1424698517.426
165910,1424698517426,54300337511000,-5.7939680000000005,0.26815059999999996,6.847417,a,s3,s3_1,bike,2015-02-23T13:35:17.426+0000,1424698517.426
109495,1424698517425,282244562254000,-6.282307,1.072589,7.201669,a,samsungold,samsungold_1,bike,2015-02-23T13:35:17.425+0000,1424698517.425
323815,1424698517423,1424698515405848589,-5.9796143,0.90586853,7.58667,a,nexus4,nexus4_1,bike,2015-02-23T13:35:17.423+0000,1424698517.423
162005,1424698517422,275957389754000,-6.5792660000000005,1.8579005000000002,6.2823853,a,s3,s3_2,bike,2015-02-23T13:35:17.422+0000,1424698517.422
159317,1424698517422,15991285029000,6.7301009999999994,-1.6208745,8.826224,a,s3mini,s3mini_1,bike,2015-02-23T13:35:17.422+0000,1424698517.422
323814,1424698517419,1424698515400813188,-5.915344,0.85350037,7.5331116,a,nexus4,nexus4_1,bike,2015-02-23T13:35:17.419+0000,1424698517.419
110395,1424698517419,12234801815000,6.741988,-1.53227,7.354896000000001,a,samsungold,samsungold_2,bike,2015-02-23T13:35:17.419+0000,1424698517.419
165909,1424698517416,54300327507000,-5.765238,0.22984336,6.8761472999999995,a,s3,s3_1,bike,2015-02-23T13:35:17.416+0000,1424698517.416
323813,1424698517413,1424698515395777788,-5.895111,0.76542664,7.560486,a,nexus4,nexus4_1,bike,2015-02-23T13:35:17.413+0000,1424698517.413
323005,1424698517413,1424700362942731014,-6.923263499999999,1.3954773,9.024216000000001,a,nexus4,nexus4_2,bike,2015-02-23T13:35:17.413+0000,1424698517.413
159316,1424698517413,15991275172000,6.599616999999999,-1.364695,8.92319,a,s3mini,s3mini_1,bike,2015-02-23T13:35:17.413+0000,1424698517.413
323004,1424698517412,1424700362937420956,-6.893509,1.3478698999999998,9.111099000000001,a,nexus4,nexus4_2,bike,2015-02-23T13:35:17.412+0000,1424698517.412
162004,1424698517412,275957379611000,-6.4739213,1.9536686,6.5505357,a,s3,s3_2,bike,2015-02-23T13:35:17.412+0000,1424698517.412
